product-id,CVV,exp month,exp year,quantity items,shipping method,payment method,search price,address line 2
175,466,2,2021,74,collect,wire+transfer,3,1
148,383,11,2024,23,collect,wire+transfer,3,1
155,50,7,2019,59,express,creditcard,2,0
9,336,4,2019,97,collect,paypal,3,0
207,827,3,2021,23,mail,paypal,3,1
117,406,10,2023,79,mail,creditcard,3,0
64,31,7,2019,2,collect,paypal,1,0
20,34,3,2019,22,express,paypal,3,1
67,54,11,2024,55,collect,wire+transfer,0,0
130,515,11,2021,29,mail,wire+transfer,3,0
60,664,7,2021,65,express,paypal,0,0
174,322,4,2024,77,collect,creditcard,0,0
167,584,3,2022,13,mail,wire+transfer,2,0
