data,datatype
89d3:ef00:2a6a:c9e1:8f62:dc31:90a9:1212,IPv6
RU,country_id
374622866175440,card_number
863,cvv
lkamenaec@businessweek.com,email
nisi,words
RU,country_id
RU,country_id
4917780837503490,card_number
,blank
c200:11d9:3feb:eccb:2287:9abb:322a:cb89,IPv6
rwyldere2@bing.com,email
bbilbie9w,username
,blank
leWbhpu,password
RU,country_id
913,cvv
RU,country_id
https://disqus.com/eget/elit/sodales.js,URL
ca12:51df:cfe:f325:acd9:9347:ddcc:5c83,IPv6
s2ckqL,password
100.215.37.29,IPv4
7d6:aef3:1df9:acb8:6184:c13c:1a69:59ae,IPv6
7-(398)577-5819,phone
5048375438821273,card_number
856,cvv
96,cvv
RU,country_id
asharpe9i,username
,blank
RU,country_id
US,country_id
7-(696)819-7435,phone
KFzp4jv,password
206.137.234.209,IPv4
125.94.205.133,IPv4
7-(464)610-6639,phone
163.40.11.228,IPv4
https://qq.com/amet/sem/fusce.aspx,URL
1NXuiQC6WpumTtot8Dshtg8DS71N77Wfka,bitcoin_address
7-(121)915-4540,phone
ultrices posuere,words
480,cvv
montes nascetur,words
7-(412)352-9703,phone
,blank
1-(216)927-2499,phone
58,cvv
http://deviantart.com/dui/nec/nisi/volutpat.js,URL
7-(469)666-0391,phone
7-(345)679-0127,phone
1CU88Z1zrphGyXTbVsbyRhmTPujH98cdDz,bitcoin_address
347127310793941,card_number
ehause3b,username
3570729255902734,card_number
15,cvv
7-(696)501-7204,phone
,blank
113.79.167.201,IPv4
http://unesco.org/ante/vel/ipsum/praesent.aspx,URL
,blank
https://hexun.com/integer/ac/leo/pellentesque/ultrices.jpg,URL
,blank
US,country_id
,blank
wtorrejonjf@blogger.com,email
761,cvv
nisl,words
